"corso_codice","corso_descrizione","scuola_long","annopubblicazione","p_fuoriregione","p_laureatiincorso","p_esperienzaestero","p_soddisfatti","p_soddisfatti_italia","p_lavorano","p_lavorano_italia","p_studiano","p_studiano_italia","annoaccademico","immatricolabile","url","campus","sededidattica","scuola","tipologia","durata","internazionale","internazionale_titolo","internazionale_lingua","lingue","accesso"
8785,"Sviluppo locale e globale","Scienze politiche",2017,0.78,0.67,0.32,0.7,0.81,0.65,0.51,0.13,0.18,"2016/2017","False","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8785","Bologna","Bologna","Scienze politiche","Laurea Magistrale",2,"False","","","Italiano","libero accesso con verifica dell'adeguatezza della preparazione"
8786,"Sociologia e servizio sociale","Scienze politiche",2017,0.64,0.46,0.06,0.82,0.83,0.64,0.56,0.08,0.1,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8786","Bologna","Bologna","Scienze politiche","Laurea Magistrale",2,"True","Titolo multiplo (solo alcuni curricula)","","Italiano","libero accesso con verifica dell'adeguatezza della preparazione"
881,"Architettura","Ingegneria e Architettura",2017,0.39,0.58,0.16,0.92,0.83,0.66,0.44,0.14,0.17,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0881","Cesena","Cesena","Ingegneria e Architettura","Laurea Magistrale a ciclo unico",5,"False","","","Italiano","numero chiuso"
8829,"Ingegneria dei processi e dei sistemi edilizi","Ingegneria e Architettura",2017,0.53,0.85,0.07,0.76,0.85,0.51,0.56,0.14,0.12,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8829","Ravenna","Ravenna","Ingegneria e Architettura","Laurea Magistrale",2,"True","Titolo multiplo (solo alcuni curricula)","Erogato in lingua straniera (solo alcuni curricula)","Italiano Inglese","libero accesso con verifica dell'adeguatezza della preparazione"
8834,"Acquacoltura e igiene delle produzioni ittiche","Agraria e Medicina Veterinaria",2017,0.34,0.41,NA,0.93,0.86,0.33,0.37,0.58,0.53,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8834","Cesena","Cesenatico","Agraria e Medicina veterinaria","Laurea",3,"False","","","Italiano","libero accesso con verifica delle conoscenze"
8836,"Beni archeologici, artistici e del paesaggio: storia, tutela e valorizzazione","Lettere e Beni culturali",2017,0.57,0.4,NA,1,0.87,NA,0.37,NA,0.23,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8836","Ravenna","Ravenna","Lettere e Beni culturali","Laurea Magistrale",2,"False","","","Italiano","libero accesso con verifica dell'adeguatezza della preparazione"
8837,"Discipline della musica e del teatro","Lettere e Beni culturali",2017,0.86,0.3,NA,1,0.96,NA,0.54,NA,0.12,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8837","Bologna","Bologna","Lettere e Beni culturali","Laurea Magistrale",2,"False","","","Italiano","libero accesso con verifica dell'adeguatezza della preparazione"
8838,"Scienze del libro e del documento","Lettere e Beni culturali",2017,0.36,0.59,NA,1,0.85,NA,0.43,NA,0.24,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8838","Ravenna","Ravenna","Lettere e Beni culturali","Laurea Magistrale",2,"False","","","Italiano","libero accesso con verifica dell'adeguatezza della preparazione"
884,"Chimica industriale","Scienze",2017,0.41,0.77,0.17,0.96,0.93,0.38,0.52,0.41,0.24,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0884","Bologna","Bologna","Scienze","Laurea Magistrale",2,"True","Titolo multiplo (solo alcuni curricula)","","Italiano","libero accesso con verifica dell'adeguatezza della preparazione"
8840,"Comunicazione pubblica e d'impresa","Scienze politiche",2017,0.72,0.69,0.19,0.65,0.89,NA,0.57,NA,0.12,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8840","Bologna","Bologna","Scienze politiche","Laurea Magistrale",2,"False","","","Italiano","numero chiuso"
