"corso_codice","corso_descrizione","scuola_long","annopubblicazione","p_fuoriregione","p_laureatiincorso","p_esperienzaestero","p_soddisfatti","p_soddisfatti_italia","p_lavorano","p_lavorano_italia","p_studiano","p_studiano_italia","annoaccademico","immatricolabile","url","campus","sededidattica","scuola","tipologia","durata","internazionale","internazionale_titolo","internazionale_lingua","lingue","accesso"
918,"Ingegneria chimica e biochimica","Ingegneria e Architettura",2017,0.57,0.34,0.02,0.8,0.89,0.14,0.17,0.84,0.81,"2016/2017","False","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0918","Bologna","Bologna","Ingegneria e Architettura","Laurea",3,"False","","","Italiano","numero chiuso"
919,"Ingegneria civile","Ingegneria e Architettura",2017,0.39,0.3,0.01,0.88,0.86,0.22,0.16,0.78,0.82,"2016/2017","False","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0919","Bologna","Bologna","Ingegneria e Architettura","Laurea",3,"False","","","Italiano","numero chiuso"
9198,"Ingegneria per l'ambiente e il territorio","Ingegneria e Architettura",2017,0.42,0.3,0.04,0.85,0.86,0.13,0.16,0.88,0.82,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/9198","Bologna","Bologna","Ingegneria e Architettura","Laurea",3,"False","","","Italiano","numero chiuso"
9199,"Ingegneria edile","Ingegneria e Architettura",2017,0.21,0.13,NA,0.9,0.84,0.15,0.21,0.82,0.74,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/9199","Ravenna","Ravenna","Ingegneria e Architettura","Laurea",3,"False","","","Italiano","numero chiuso"
920,"Ingegneria dell'automazione","Ingegneria e Architettura",2017,0.36,0.25,0.37,0.92,0.89,0.24,0.23,0.76,0.76,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0920","Bologna","Bologna","Ingegneria e Architettura","Laurea",3,"True","Titolo multiplo (solo alcuni curricula)","","Italiano","numero chiuso"
9200,"Sviluppo locale e globale","Scienze politiche",2017,0.78,0.67,0.32,0.7,0.81,0.65,0.51,0.13,0.18,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/9200","Bologna","Bologna","Scienze politiche","Laurea Magistrale",2,"False","","","Italiano","libero accesso con verifica dell'adeguatezza della preparazione"
9202,"Economia e commercio","Economia, Management e Statistica",2017,0.17,0.52,0.09,0.94,0.88,0.41,0.3,0.5,0.62,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/9202","Forlì","Forlì","Economia, Management e Statistica","Laurea",3,"True","","Erogato in lingua straniera (solo alcuni curricula)","Italiano Inglese","numero chiuso"
9203,"Economia e management","Economia, Management e Statistica",2017,0.34,0.73,0.14,0.9,0.92,0.72,0.59,0.09,0.16,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/9203","Forlì","Forlì","Economia, Management e Statistica","Laurea Magistrale",2,"True","Titolo multiplo","Erogato in lingua straniera (solo alcuni curricula)","Italiano Inglese","numero chiuso"
9205,"Telecommunications engineering","Ingegneria e Architettura",2017,0.77,0.27,0.27,0.96,0.92,0.64,0.71,0.18,0.2,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/9205","Bologna","Bologna","Ingegneria e Architettura","Laurea Magistrale",2,"True","Titolo multiplo","Erogato in lingua straniera","Inglese","libero accesso con verifica dell'adeguatezza della preparazione"
9206,"Pedagogia","Psicologia e Scienze della Formazione",2017,0.38,0.37,0.03,0.85,0.9,0.81,0.67,0.06,0.09,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/9206","Bologna","Bologna","Psicologia e Scienze della Formazione","Laurea Magistrale",2,"False","","","Italiano","numero chiuso"
921,"Ingegneria edile","Ingegneria e Architettura",2017,0.21,0.13,NA,0.9,0.84,0.15,0.21,0.82,0.74,"2016/2017","False","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0921","Ravenna","Ravenna","Ingegneria e Architettura","Laurea",3,"False","","","Italiano","numero chiuso"
923,"Ingegneria elettronica e telecomunicazioni","Ingegneria e Architettura",2017,0.44,0.18,NA,0.95,0.89,0.09,0.23,0.91,0.76,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0923","Bologna","Bologna","Ingegneria e Architettura","Laurea",3,"False","","","Italiano","numero chiuso"
924,"Ingegneria energetica","Ingegneria e Architettura",2017,0.44,0.36,0.02,0.83,0.89,0.16,0.17,0.81,0.81,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0924","Bologna","Bologna","Ingegneria e Architettura","Laurea",3,"False","","","Italiano","numero chiuso"
925,"Ingegneria gestionale","Ingegneria e Architettura",2017,0.35,0.56,0.18,0.93,0.89,0.25,0.17,0.72,0.81,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0925","Bologna","Bologna","Ingegneria e Architettura","Laurea",3,"False","","","Italiano","numero chiuso"
926,"Ingegneria informatica","Ingegneria e Architettura",2017,0.44,0.28,0.04,0.94,0.89,0.31,0.23,0.65,0.76,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0926","Bologna","Bologna","Ingegneria e Architettura","Laurea",3,"False","","","Italiano","numero chiuso"
927,"Ingegneria meccanica","Ingegneria e Architettura",2017,0.35,0.41,0.01,0.85,0.89,0.19,0.17,0.81,0.81,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0927","Bologna","Bologna","Ingegneria e Architettura","Laurea",3,"False","","","Italiano","numero chiuso"
928,"Ingegneria per l'ambiente e il territorio","Ingegneria e Architettura",2017,0.42,0.3,0.04,0.85,0.86,0.13,0.16,0.88,0.82,"2016/2017","False","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0928","Bologna","Bologna","Ingegneria e Architettura","Laurea",3,"False","","","Italiano","numero chiuso"
930,"Ingegneria civile","Ingegneria e Architettura",2017,0.53,0.43,0.03,0.92,0.9,0.67,0.55,0.1,0.13,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0930","Bologna","Bologna","Ingegneria e Architettura","Laurea Magistrale",2,"False","","","Italiano","libero accesso con verifica dell'adeguatezza della preparazione"
934,"Ingegneria elettronica","Ingegneria e Architettura",2017,0.58,0.26,0.04,0.93,0.94,0.81,0.68,0.15,0.21,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0934","Bologna","Bologna","Ingegneria e Architettura","Laurea Magistrale",2,"True","","Erogato in lingua straniera (solo alcuni curricula)","Italiano Inglese","libero accesso con verifica dell'adeguatezza della preparazione"
935,"Ingegneria energetica","Ingegneria e Architettura",2017,0.62,0.38,0.11,0.85,0.85,0.64,0.6,0.2,0.19,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0935","Bologna","Bologna","Ingegneria e Architettura","Laurea Magistrale",2,"False","","","Italiano","libero accesso con verifica dell'adeguatezza della preparazione"
936,"Ingegneria gestionale","Ingegneria e Architettura",2017,0.54,0.72,0.14,0.95,0.95,0.83,0.82,0.09,0.07,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0936","Bologna","Bologna","Ingegneria e Architettura","Laurea Magistrale",2,"False","","","Italiano","libero accesso con verifica dell'adeguatezza della preparazione"
937,"Ingegneria informatica","Ingegneria e Architettura",2017,0.52,0.61,0.13,0.93,0.94,0.88,0.81,0.06,0.14,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0937","Bologna","Bologna","Ingegneria e Architettura","Laurea Magistrale",2,"False","","","Italiano","libero accesso con verifica dell'adeguatezza della preparazione"
938,"Ingegneria meccanica","Ingegneria e Architettura",2017,0.61,0.47,0.11,0.92,0.92,0.84,0.77,0.11,0.1,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0938","Bologna","Bologna","Ingegneria e Architettura","Laurea Magistrale",2,"True","Titolo multiplo","","Italiano","libero accesso con verifica dell'adeguatezza della preparazione"
940,"Ingegneria edile - architettura","Ingegneria e Architettura",2017,0.58,0.1,0.37,0.81,0.83,0.69,0.44,0.12,0.17,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0940","Bologna","Bologna","Ingegneria e Architettura","Laurea Magistrale a ciclo unico",5,"False","","","Italiano","numero chiuso"
946,"Ingegneria biomedica","Ingegneria e Architettura",2017,0.3,0.47,0.04,0.9,0.89,0.1,0.23,0.82,0.76,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0946","Cesena","Cesena","Ingegneria e Architettura","Laurea",3,"False","","","Italiano","numero chiuso"
949,"Ingegneria meccanica","Ingegneria e Architettura",2017,0.1,0.16,NA,0.96,0.89,0.3,0.17,0.7,0.81,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0949","Forlì","Forlì","Ingegneria e Architettura","Laurea",3,"False","","","Italiano","numero chiuso"
956,"Dams - discipline delle arti, della musica  e dello spettacolo","Lettere e Beni culturali",2017,0.75,0.35,0.06,0.85,0.83,0.36,0.39,0.48,0.4,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0956","Bologna","Bologna","Lettere e Beni culturali","Laurea",3,"False","","","Italiano","libero accesso con verifica delle conoscenze"
957,"Filosofia","Lettere e Beni culturali",2017,0.59,0.57,0.11,0.83,0.89,0.27,0.25,0.63,0.69,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0957","Bologna","Bologna","Lettere e Beni culturali","Laurea",3,"True","Titolo multiplo","","Italiano","libero accesso con verifica delle conoscenze"
962,"Storia","Lettere e Beni culturali",2017,0.47,0.45,0.11,0.91,0.89,0.31,0.32,0.64,0.6,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0962","Bologna","Bologna","Lettere e Beni culturali","Laurea",3,"True","Titolo multiplo","","Italiano","libero accesso con verifica delle conoscenze"
964,"Antropologia culturale ed etnologia","Lettere e Beni culturali",2017,0.64,0.44,0.17,0.86,0.88,0.55,0.53,0.21,0.18,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0964","Bologna","Bologna","Lettere e Beni culturali","Laurea Magistrale",2,"False","","","Italiano","libero accesso con verifica dell'adeguatezza della preparazione"
966,"Cinema, televisione e produzione multimediale","Lettere e Beni culturali",2017,0.87,0.45,0.06,0.86,0.87,0.38,0.48,0.25,0.14,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0966","Bologna","Bologna","Lettere e Beni culturali","Laurea Magistrale",2,"False","","","Italiano","libero accesso con verifica dell'adeguatezza della preparazione"
970,"Filologia, letteratura e tradizione classica","Lettere e Beni culturali",2017,0.74,0.57,0.17,1,0.93,0.56,0.45,0.25,0.2,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0970","Bologna","Bologna","Lettere e Beni culturali","Laurea Magistrale",2,"False","","","Italiano","libero accesso con verifica dell'adeguatezza della preparazione"
971,"Geografia e processi territoriali","Lettere e Beni culturali",2017,0.62,0.57,0.07,0.73,0.86,0.43,0.59,0.07,0.1,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0971","Bologna","Bologna","Lettere e Beni culturali","Laurea Magistrale",2,"False","","","Italiano","libero accesso con verifica dell'adeguatezza della preparazione"
973,"Italianistica, culture letterarie europee, scienze linguistiche","Lettere e Beni culturali",2017,0.69,0.61,0.12,0.92,0.9,0.5,0.49,0.21,0.16,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0973","Bologna","Bologna","Lettere e Beni culturali","Laurea Magistrale",2,"True","Titolo multiplo (solo alcuni curricula)","","Italiano","libero accesso con verifica dell'adeguatezza della preparazione"
977,"Arti visive","Lettere e Beni culturali",2017,0.71,0.49,0.03,0.86,0.89,0.44,0.46,0.2,0.15,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0977","Bologna","Bologna","Lettere e Beni culturali","Laurea Magistrale",2,"True","Titolo multiplo","","Italiano","libero accesso con verifica dell'adeguatezza della preparazione"
979,"Lingue e letterature straniere","Lingue e Letterature, Traduzione e Interpretazione",2017,0.46,0.4,0.43,0.84,0.82,0.44,0.36,0.48,0.52,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0979","Bologna","Bologna","Lingue e Letterature, Traduzione e Interpretazione","Laurea",3,"True","Titolo multiplo (solo alcuni curricula)","","Italiano","numero chiuso"
980,"Lingue, mercati e culture dell'asia","Lingue e Letterature, Traduzione e Interpretazione",2017,0.51,0.46,0.39,0.75,0.82,0.36,0.36,0.48,0.52,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0980","Bologna","Bologna","Lingue e Letterature, Traduzione e Interpretazione","Laurea",3,"False","","","Italiano","numero chiuso"
981,"Letterature moderne, comparate e postcoloniali","Lingue e Letterature, Traduzione e Interpretazione",2017,0.74,0.68,0.56,0.91,0.9,0.56,0.56,0.13,0.1,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0981","Bologna","Bologna","Lingue e Letterature, Traduzione e Interpretazione","Laurea Magistrale",2,"True","Titolo multiplo","","Italiano","libero accesso con verifica dell'adeguatezza della preparazione"
982,"Lingua, societa' e comunicazione","Lingue e Letterature, Traduzione e Interpretazione",2017,0.73,0.69,0.24,0.68,0.83,0.6,0.58,0.1,0.12,"2016/2017","False","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0982","Bologna","Bologna","Lingue e Letterature, Traduzione e Interpretazione","Laurea Magistrale",2,"True","Titolo multiplo","","Italiano","libero accesso con verifica dell'adeguatezza della preparazione"
983,"Lingua e cultura italiane per stranieri","Lingue e Letterature, Traduzione e Interpretazione",2017,0.78,0.47,0.26,0.8,0.88,0.76,0.61,0.07,0.18,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0983","Bologna","Bologna","Lingue e Letterature, Traduzione e Interpretazione","Laurea Magistrale",2,"True","Titolo multiplo","","Italiano","libero accesso con verifica dell'adeguatezza della preparazione"
989,"Neuroscienze e riabilitazione neuropsicologica","Psicologia e Scienze della Formazione",2017,0.65,0.79,0.02,0.96,0.91,0.27,0.39,0.47,0.32,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0989","Cesena","Cesena","Psicologia e Scienze della Formazione","Laurea Magistrale",2,"False","","","Italiano","libero accesso con verifica dell'adeguatezza della preparazione"
990,"Psicologia clinica","Psicologia e Scienze della Formazione",2017,0.64,0.78,0.07,0.91,0.91,0.48,0.39,0.29,0.32,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0990","Cesena","Cesena","Psicologia e Scienze della Formazione","Laurea Magistrale",2,"True","Titolo multiplo","","Italiano","libero accesso con verifica dell'adeguatezza della preparazione"
991,"Psicologia cognitiva applicata","Psicologia e Scienze della Formazione",2017,0.52,0.83,0.07,0.86,0.91,0.47,0.39,0.39,0.32,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0991","Cesena","Bologna","Psicologia e Scienze della Formazione","Laurea Magistrale",2,"False","","","Italiano","libero accesso con verifica dell'adeguatezza della preparazione"
992,"Psicologia delle organizzazioni e dei servizi","Psicologia e Scienze della Formazione",2017,0.54,0.94,0.26,0.83,0.91,0.53,0.39,0.11,0.32,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0992","Cesena","Cesena","Psicologia e Scienze della Formazione","Laurea Magistrale",2,"True","Titolo multiplo","","Italiano","libero accesso con verifica dell'adeguatezza della preparazione"
993,"Psicologia scolastica e di comunita'","Psicologia e Scienze della Formazione",2017,0.69,0.93,0.15,0.98,0.91,0.6,0.39,0.31,0.32,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0993","Cesena","Cesena","Psicologia e Scienze della Formazione","Laurea Magistrale",2,"True","Titolo multiplo","","Italiano","libero accesso con verifica dell'adeguatezza della preparazione"
